HIP,VMAG,RA_DEG,DEC_DEG
104755, 5.06,318.33516015,-70.12621725
 84979, 5.39,260.52449572,-70.12317887
 41451, 5.51,126.81994813,-70.09359517
 80686, 4.90,247.11583852,-70.08467012
 74582, 5.75,228.57986595,-70.07945566
 46143, 6.45,141.15482482,-70.07577997
113137, 6.04,343.66482152,-70.07388667
 50099, 3.29,153.43449551,-70.03792169
 30321, 5.56,95.65929247,-69.98412773
 64390, 5.92,197.96408969,-69.94201974
 72983, 6.38,223.72521374,-69.86092469
 37720, 6.16,116.05456897,-69.82161624
105678, 6.28,321.06972656,-69.73386384
 69298, 6.07,212.75805146,-69.71926784
 45238, 1.67,138.30100329,-69.71747245
 30565, 5.37,96.36937934,-69.69078672
 64682, 6.37,198.85735777,-69.67919729
107835, 5.52,327.69677354,-69.62940458
 65755, 6.17,202.19510174,-69.6271126
  1647, 5.50,5.16267858,-69.62491154
 15840, 6.14,51.00948316,-69.62465075
101626, 6.09,308.96528696,-69.61047763
  4293, 5.45,13.75124739,-69.52697888
106044, 5.47,322.18661378,-69.5052732
 52785, 6.35,161.87756549,-69.43773364
 61981, 6.31,190.52097535,-69.4075508
 67664, 5.73,207.94759834,-69.40124669
 15968, 5.96,51.40105611,-69.33659399
 83150, 5.79,254.89159236,-69.26813178
 14547, 6.12,46.95416193,-69.26495674
 52730, 6.34,161.70037254,-69.20979312
 58720, 5.89,180.65731961,-69.19227106
 94724, 6.25,289.11916883,-69.19075492
 98332, 5.74,299.67157464,-69.16371251
 61585, 2.69,189.29618208,-69.13553358
 48782, 6.18,149.24932341,-69.1018253
 53556, 6.48,164.33424913,-69.03806214
 82273, 1.91,252.16610742,-69.02763503
  5896, 4.25,18.93956391,-68.87623708
 29134, 5.06,92.18476724,-68.84345717
 34270, 6.47,106.55959722,-68.83757671
 62212, 6.16,191.25860848,-68.83074797
113969, 5.53,346.21728516,-68.82037973
102773, 5.41,312.32614627,-68.77640032
 98346, 6.38,299.72052643,-68.76240414
 93574, 5.89,285.87367886,-68.7555329
 45571, 5.38,139.32250201,-68.68957252
 44283, 5.89,135.28536477,-68.68391841
 49764, 5.80,152.37583168,-68.68283264
 74946, 2.87,229.72787007,-68.67946723
 11001, 4.08,35.43759585,-68.6594239
 59046, 6.23,181.58305555,-68.65140083
 25482, 6.02,81.74925231,-68.62249571
 39794, 4.35,121.98266997,-68.61713647
 77982, 5.11,238.87338903,-68.60298616
 95999, 5.98,292.79559581,-68.43388713
 94150, 5.31,287.46925968,-68.42434424
 95369, 6.33,291.0229734,-68.37107984
 58884, 5.34,181.1622784,-68.32889673
 75565, 5.89,231.5605344,-68.30918936
 60329, 5.73,185.55014315,-68.30719873
 81710, 5.89,250.34637667,-68.2960944
 83556, 6.47,256.14043478,-68.27864298
 12394, 4.12,39.8967653,-68.2669476
 59389, 6.48,182.75507582,-68.26093422
 89674, 6.32,274.50398642,-68.22921619
 42850, 6.33,130.97635905,-68.21164561
103752, 6.36,315.36679488,-68.20960595
 70492, 5.56,216.27641298,-68.19532385
 62322, 3.04,191.57029013,-68.10809405
 59929, 4.06,184.39431802,-67.96067161
 35228, 3.97,109.20762844,-67.95717248
 79797, 5.95,244.27284183,-67.94107968
 71530, 6.03,219.44498594,-67.93132799
 33682, 5.18,104.96074141,-67.91701197
 64661, 4.79,198.81249082,-67.8945633
114367, 6.47,347.43638552,-67.87615966
 86510, 6.48,265.18570532,-67.85412144
 10418, 5.57,33.56042796,-67.84155199
 55140, 6.06,169.32925694,-67.82349927
 64117, 6.34,197.11599927,-67.79676243
 84969, 4.76,260.49806157,-67.7706496
 61404, 6.11,188.7269318,-67.75688853
 10513, 5.67,33.86899336,-67.74633515
 71002, 5.84,217.81827528,-67.71705401
 82539, 6.33,253.07409716,-67.68151371
 67942, 5.74,208.70473728,-67.6520644
  8928, 4.68,28.73339519,-67.64748114
 60417, 6.36,185.81266771,-67.63217115
 56727, 5.94,174.45211345,-67.62035361
 12876, 4.83,41.38555249,-67.616724
 60320, 5.15,185.53077773,-67.52209279
110935, 5.56,337.15600483,-67.48888731
 75091, 6.27,230.16899793,-67.48150132
115062, 6.15,349.58329624,-67.47122023
 81873, 6.02,250.84213946,-67.43231072
 98959, 6.07,301.3811952,-67.31925724
 93015, 4.40,284.23766942,-67.23353511
 84248, 5.87,258.32546891,-67.19637197
 61703, 6.22,189.71819205,-67.19304671
 24372, 4.81,78.43927858,-67.18534976
 82129, 5.10,251.66672526,-67.10965828
 74184, 5.76,227.37466411,-67.08412683
 45615, 6.14,139.46527559,-67.05089926
 51425, 6.19,157.53671877,-66.98466678
 56287, 5.89,173.08331854,-66.9618349
 98478, 5.75,300.09627712,-66.94888773
 98624, 5.32,300.46835033,-66.94379223
 15353, 6.03,49.49578856,-66.92688494
 47591, 6.33,145.55411422,-66.91481962
 50847, 4.97,155.74241361,-66.90152522
 27534, 5.10,87.47313958,-66.9012309
114408, 6.47,347.54993996,-66.85772967
 57581, 4.75,177.06037263,-66.81487085
 97569, 6.44,297.47257971,-66.813093
 43414, 5.34,132.64450311,-66.79322494
 64820, 4.86,199.30431246,-66.78342263
102157, 5.14,310.48776281,-66.76062542
100379, 6.49,305.36858807,-66.74969742
 57363, 3.63,176.40236386,-66.72884344
 46737, 6.27,142.88770483,-66.7190455
 12717, 6.23,40.86027168,-66.71405573
 46460, 5.90,142.12749104,-66.70198874
 96734, 6.37,294.96721053,-66.68540741
 22737, 6.43,73.37703998,-66.67543873
 94789, 5.52,289.30091657,-66.66103756
 93287, 5.98,285.01477683,-66.65351408
 72438, 5.91,222.18567167,-66.59353612
 69763, 5.72,214.16135836,-66.58788092
115756, 6.47,351.78112296,-66.58085439
 26368, 6.28,84.22911509,-66.56031364
 61796, 6.26,189.9829257,-66.5111221
  1599, 4.23,5.00797581,-64.8776232
 11293, 6.39,36.36035123,-66.49402863
 16368, 5.81,52.71534366,-66.4897181
  5992, 6.23,19.26533831,-66.39789075
 44382, 4.00,135.61166181,-66.39584369
 58085, 6.38,178.68590817,-66.37603942
 50083, 5.15,153.3778442,-66.37283938
 99200, 6.45,302.08533425,-66.35467601
 76440, 4.11,234.17994543,-66.31690469
 68455, 5.96,210.21922701,-66.26885149
 64466, 5.91,198.20319288,-66.22676607
102395, 3.42,311.2398153,-66.20323826
 38210, 5.78,117.42081658,-66.19597303
 99240, 3.55,302.17441713,-66.17932101
 70528, 6.36,216.41583852,-66.17288297
 41312, 3.77,126.43435936,-66.13652042
 37773, 6.37,116.18282329,-66.07204846
  9318, 6.09,29.92116544,-66.06657323
 28909, 5.72,91.53900939,-66.03968885
 72965, 6.09,223.67746133,-65.99106556
 96882, 6.08,295.40518256,-65.8542392
 60183, 6.20,185.11783762,-65.84263025
 42895, 6.03,131.12520012,-65.82568206
 70657, 5.87,216.77963835,-65.82161161
 49698, 5.26,152.17849096,-65.81553262
 68270, 6.20,209.63034736,-65.80057278
 60601, 6.29,186.32342553,-65.76961193
 27100, 4.34,86.19341279,-65.7355408
 87822, 6.36,269.10073445,-65.72096439
 59050, 5.95,181.59618267,-65.70942594
 51194, 6.00,156.85583147,-65.7047139
 59898, 6.06,184.2765174,-65.69293557
 66152, 6.36,203.39966813,-65.6326223
 40680, 5.06,124.57823985,-65.6132455
 97674, 6.04,297.75456049,-65.60470281
 29353, 5.01,92.81256272,-65.58970507
118322, 4.49,359.97879195,-65.57707774
